date,home,visitor,FT,hgoal,vgoal,comp_season,cup,shootout_winner
2000-10-31,Karlsruher SC,Hamburger SV,1-0,1,0,2000-01,DFB-Pokal,
2000-10-31,SC Freiburg,Werder Bremen,1-0,1,0,2000-01,DFB-Pokal,
2000-10-31,SV Wehen,Borussia Dortmund,0-1,0,1,2000-01,DFB-Pokal,
2000-11-01,1. FC Magdeburg,Bayern Munich,1-1,1,1,2000-01,DFB-Pokal,1. FC Magdeburg
2000-11-01,1. FC Union Berlin,SpVgg Greuther Fürth,1-0,1,0,2000-01,DFB-Pokal,
2000-11-01,Borussia Mönchengladbach,1. FC Kaiserslautern,5-1,5,1,2000-01,DFB-Pokal,
2000-11-01,FC St. Pauli,Schalke 04,1-3,1,3,2000-01,DFB-Pokal,
2000-11-01,Hannover 96,Hansa Rostock,2-1,2,1,2000-01,DFB-Pokal,
2000-11-01,SSV Ulm 1846,Energie Cottbus,2-0,2,0,2000-01,DFB-Pokal,
2000-11-01,SpVgg Unterhaching,1860 München,1-2,1,2,2000-01,DFB-Pokal,
2000-11-01,VfB Lübeck,MSV Duisburg,1-1,1,1,2000-01,DFB-Pokal,MSV Duisburg
2000-11-01,VfB Stuttgart (A),VfB Stuttgart,0-3,0,3,2000-01,DFB-Pokal,
2000-11-01,VfL Wolfsburg,Hertha BSC,3-1,3,1,2000-01,DFB-Pokal,
2000-11-28,1. FC Magdeburg,Karlsruher SC,5-3,5,3,2000-01,DFB-Pokal,
2000-11-28,1. FC Union Berlin,SSV Ulm 1846,4-2,4,2,2000-01,DFB-Pokal,
2000-11-28,VfL Wolfsburg,MSV Duisburg,1-1,1,1,2000-01,DFB-Pokal,MSV Duisburg
2000-11-29,1860 München,VfL Bochum,0-5,0,5,2000-01,DFB-Pokal,
2000-11-29,Borussia Mönchengladbach,1. FC Nürnberg,1-0,1,0,2000-01,DFB-Pokal,
2000-11-29,SC Freiburg,Bayer Leverkusen,3-2,3,2,2000-01,DFB-Pokal,
2000-11-29,Schalke 04,Borussia Dortmund,2-1,2,1,2000-01,DFB-Pokal,
2000-11-29,VfB Stuttgart,Hannover 96,2-1,2,1,2000-01,DFB-Pokal,
2000-12-20,1. FC Magdeburg,Schalke 04,0-1,0,1,2000-01,DFB-Pokal,
2000-12-20,1. FC Union Berlin,VfL Bochum,1-0,1,0,2000-01,DFB-Pokal,
2000-12-20,MSV Duisburg,Borussia Mönchengladbach,0-1,0,1,2000-01,DFB-Pokal,
2000-12-20,VfB Stuttgart,SC Freiburg,2-1,2,1,2000-01,DFB-Pokal,
2001-02-06,1. FC Union Berlin,Borussia Mönchengladbach,2-2,2,2,2000-01,DFB-Pokal,1. FC Union Berlin
2001-02-07,VfB Stuttgart,Schalke 04,0-3,0,3,2000-01,DFB-Pokal,
2001-05-26,Union Berlin,Schalke 04,0-2,0,2,2000-01,DFB-Pokal,
2001-08-24,Rot-Weiss Erfurt,LR Ahlen,2-2,2,2,2001-02,DFB-Pokal,Rot-Weiss Erfurt
2001-08-24,SV Yeşilyurt,SC Freiburg,2-4,2,4,2001-02,DFB-Pokal,
2001-08-24,Stuttgarter Kickers,SpVgg Unterhaching,1-5,1,5,2001-02,DFB-Pokal,
2001-08-24,VfB Stuttgart (A),SpVgg Greuther Fürth,0-1,0,1,2001-02,DFB-Pokal,
2001-08-24,VfR Mannheim,Hannover 96,1-3,1,3,2001-02,DFB-Pokal,
2001-08-25,Blau-Weiß Brühl,1. FC Kaiserslautern,1-4,1,4,2001-02,DFB-Pokal,
2001-08-25,Eintracht Trier,Alemannia Aachen,2-4,2,4,2001-02,DFB-Pokal,
2001-08-25,Erzgebirge Aue,Mainz 05,1-2,1,2,2001-02,DFB-Pokal,
2001-08-25,FC Homburg,Hamburger SV,2-5,2,5,2001-02,DFB-Pokal,
2001-08-25,FC St. Pauli (A),Eintracht Frankfurt,0-1,0,1,2001-02,DFB-Pokal,
2001-08-25,KFC Uerdingen,Energie Cottbus,1-0,1,0,2001-02,DFB-Pokal,
2001-08-25,Karlsruher SC,Waldhof Mannheim,2-5,2,5,2001-02,DFB-Pokal,
2001-08-25,SV Babelsberg 03,Hertha BSC,1-2,1,2,2001-02,DFB-Pokal,
2001-08-25,VfB Lübeck,Werder Bremen,2-3,2,3,2001-02,DFB-Pokal,
2001-08-25,VfL Osnabrück,Hansa Rostock,2-1,2,1,2001-02,DFB-Pokal,
2001-08-25,VfL Wolfsburg (A),Borussia Dortmund,1-0,1,0,2001-02,DFB-Pokal,
2001-08-25,VfR Aalen,Rot-Weiss Oberhausen,0-2,0,2,2001-02,DFB-Pokal,
2001-08-25,Würzburger FV,1860 München,0-10,0,10,2001-02,DFB-Pokal,
2001-08-26,1. FC Magdeburg,VfL Wolfsburg,1-5,1,5,2001-02,DFB-Pokal,
2001-08-26,1. FC Union Berlin,MSV Duisburg,1-0,1,0,2001-02,DFB-Pokal,
2001-08-26,Chemnitzer FC,1. FC Köln,2-5,2,5,2001-02,DFB-Pokal,
2001-08-26,Darmstadt 98,FC St. Pauli,3-1,3,1,2001-02,DFB-Pokal,
2001-08-26,Energie Cottbus (A),Arminia Bielefeld,0-4,0,4,2001-02,DFB-Pokal,
2001-08-26,FC Schönberg 95,VfB Stuttgart,2-4,2,4,2001-02,DFB-Pokal,
2001-08-26,FC Schüttorf 09,SSV Reutlingen,1-4,1,4,2001-02,DFB-Pokal,
2001-08-26,Mainz 05 (A),Borussia Mönchengladbach,0-0,0,0,2001-02,DFB-Pokal,Borussia Mönchengladbach
2001-08-26,SC Freiburg (A),Schalke 04,0-1,0,1,2001-02,DFB-Pokal,
2001-08-26,SSV Jahn Regensburg,Bayer Leverkusen,0-3,0,3,2001-02,DFB-Pokal,
2001-08-26,SSV Ulm 1846,1. FC Nürnberg,2-1,2,1,2001-02,DFB-Pokal,
2001-08-26,Schalke 04 (A),VfL Bochum,0-1,0,1,2001-02,DFB-Pokal,
2001-08-26,Werder Bremen (A),1. FC Saarbrücken,5-0,5,0,2001-02,DFB-Pokal,
2001-08-27,SC Paderborn,Bayern Munich,1-5,1,5,2001-02,DFB-Pokal,
2001-11-27,Arminia Bielefeld,Schalke 04,1-2,1,2,2001-02,DFB-Pokal,
2001-11-27,Hamburger SV,VfB Stuttgart,0-2,0,2,2001-02,DFB-Pokal,
2001-11-27,KFC Uerdingen,Werder Bremen,1-1,1,1,2001-02,DFB-Pokal,KFC Uerdingen
2001-11-27,Mainz 05,SpVgg Greuther Fürth,3-2,3,2,2001-02,DFB-Pokal,
2001-11-27,Rot-Weiss Erfurt,Hertha BSC,1-2,1,2,2001-02,DFB-Pokal,
2001-11-27,VfL Wolfsburg,SpVgg Unterhaching,3-0,3,0,2001-02,DFB-Pokal,
2001-11-28,1860 München,Borussia Mönchengladbach,4-3,4,3,2001-02,DFB-Pokal,
2001-11-28,Alemannia Aachen,1. FC Köln,1-2,1,2,2001-02,DFB-Pokal,
2001-11-28,Darmstadt 98,SC Freiburg,3-3,3,3,2001-02,DFB-Pokal,Darmstadt 98
2001-11-28,SSV Reutlingen,Rot-Weiss Oberhausen,2-2,2,2,2001-02,DFB-Pokal,Rot-Weiss Oberhausen
2001-11-28,SSV Ulm 1846,1. FC Union Berlin,0-3,0,3,2001-02,DFB-Pokal,
2001-11-28,VfL Wolfsburg (A),Hannover 96,0-4,0,4,2001-02,DFB-Pokal,
2001-11-28,Waldhof Mannheim,1. FC Kaiserslautern,2-3,2,3,2001-02,DFB-Pokal,
2001-11-28,Werder Bremen (A),Eintracht Frankfurt,3-3,3,3,2001-02,DFB-Pokal,Eintracht Frankfurt
2001-12-11,1. FC Union Berlin,Rot-Weiss Oberhausen,1-2,1,2,2001-02,DFB-Pokal,
2001-12-11,Mainz 05,1. FC Kaiserslautern,2-3,2,3,2001-02,DFB-Pokal,
2001-12-11,VfB Stuttgart,1860 München,2-2,2,2,2001-02,DFB-Pokal,1860 München
2001-12-11,VfL Bochum,Bayer Leverkusen,2-3,2,3,2001-02,DFB-Pokal,
2001-12-12,Darmstadt 98,Schalke 04,0-1,0,1,2001-02,DFB-Pokal,
2001-12-12,Eintracht Frankfurt,Hertha BSC,1-2,1,2,2001-02,DFB-Pokal,
2001-12-12,KFC Uerdingen,1. FC Köln,1-1,1,1,2001-02,DFB-Pokal,1. FC Köln
2001-12-12,VfL Osnabrück,Bayern Munich,0-2,0,2,2001-02,DFB-Pokal,
2001-12-22,Hannover 96,Bayer Leverkusen,1-2,1,2,2001-02,DFB-Pokal,
2001-12-23,Bayern Munich,VfL Wolfsburg,2-1,2,1,2001-02,DFB-Pokal,
2002-01-30,1. FC Kaiserslautern,Bayern Munich,0-0,0,0,2001-02,DFB-Pokal,Bayern Munich
2002-01-30,Bayer Leverkusen,1860 München,3-0,3,0,2001-02,DFB-Pokal,
2002-01-30,Hertha BSC,1. FC Köln,1-2,1,2,2001-02,DFB-Pokal,
2002-01-30,Schalke 04,Rot-Weiss Oberhausen,2-0,2,0,2001-02,DFB-Pokal,
2002-03-05,Bayer Leverkusen,1. FC Köln,3-1,3,1,2001-02,DFB-Pokal,
2002-03-06,Schalke 04,Bayern Munich,2-0,2,0,2001-02,DFB-Pokal,
2002-05-11,Schalke 04,Bayer Leverkusen,4-2,4,2,2001-02,DFB-Pokal,
2002-08-28,Tennis Borussia Berlin,FC St. Pauli,1-2,1,2,2002-03,DFB-Pokal,
2002-08-30,1. FC Saarbrücken,SV Waldhof Mannheim,1-1,1,1,2002-03,DFB-Pokal,SV Waldhof Mannheim
2002-08-30,1. FC Schweinfurt 05,1. FC Union Berlin,1-2,1,2,2002-03,DFB-Pokal,
2002-08-30,1899 Hoffenheim,SpVgg Greuther Fürth,4-1,4,1,2002-03,DFB-Pokal,
2002-08-30,Eintracht Braunschweig,SSV Reutlingen,1-2,1,2,2002-03,DFB-Pokal,
2002-08-30,Eintracht Trier,1. FC Nürnberg,0-2,0,2,2002-03,DFB-Pokal,
2002-08-30,SpVgg Unterhaching,Mainz 05,1-1,1,1,2002-03,DFB-Pokal,SpVgg Unterhaching
2002-08-30,VfB Lübeck,MSV Duisburg,2-3,2,3,2002-03,DFB-Pokal,
2002-08-31,Bahlinger SC,Alemannia Aachen,1-0,1,0,2002-03,DFB-Pokal,
2002-08-31,Bayern Munich (A),Schalke 04,1-2,1,2,2002-03,DFB-Pokal,
2002-08-31,Concordia Ihrhove,Borussia Dortmund,0-3,0,3,2002-03,DFB-Pokal,
2002-08-31,EFC Stahl,Werder Bremen,0-1,0,1,2002-03,DFB-Pokal,
2002-08-31,Erzgebirge Aue,VfL Bochum,1-3,1,3,2002-03,DFB-Pokal,
2002-08-31,FC Schönberg,Hamburger SV,0-6,0,6,2002-03,DFB-Pokal,
2002-08-31,Hallescher FC,SC Freiburg,1-3,1,3,2002-03,DFB-Pokal,
2002-08-31,Jahn Regensburg,LR Ahlen,1-2,1,2,2002-03,DFB-Pokal,
2002-08-31,Kickers Offenbach,Karlsruher SC,3-1,3,1,2002-03,DFB-Pokal,
2002-08-31,SC Paderborn,VfB Stuttgart,1-4,1,4,2002-03,DFB-Pokal,
2002-08-31,VfL Wolfsburg (A),1. FC Köln,1-3,1,3,2002-03,DFB-Pokal,
2002-08-31,VfR Aalen,Hannover 96,2-3,2,3,2002-03,DFB-Pokal,
2002-08-31,Wacker Burghausen,Energie Cottbus,0-2,0,2,2002-03,DFB-Pokal,
2002-08-31,Werder Bremen (A),Bayern Munich,0-3,0,3,2002-03,DFB-Pokal,
2002-09-01,1. FC Saarbrücken (A),Arminia Bielefeld,0-5,0,5,2002-03,DFB-Pokal,
2002-09-01,Alemannia Aachen (A),1860 München,0-7,0,7,2002-03,DFB-Pokal,
2002-09-01,FSV Salmrohr,VfL Wolfsburg,0-2,0,2,2002-03,DFB-Pokal,
2002-09-01,Holstein Kiel,Hertha BSC,1-1,1,1,2002-03,DFB-Pokal,Holstein Kiel
2002-09-01,Mainz 05 (A),Hansa Rostock,0-2,0,2,2002-03,DFB-Pokal,
2002-09-01,Rot-Weiss Erfurt,Eintracht Frankfurt,2-3,2,3,2002-03,DFB-Pokal,
2002-09-01,Rot-Weiss Essen,Bayer Leverkusen,0-1,0,1,2002-03,DFB-Pokal,
2002-09-01,SV Babelsberg 03,Borussia Mönchengladbach,0-1,0,1,2002-03,DFB-Pokal,
2002-09-01,Sportfreunde Siegen,Rot-Weiss Oberhausen,0-1,0,1,2002-03,DFB-Pokal,
2002-09-01,USC Paloma,1. FC Kaiserslautern,0-5,0,5,2002-03,DFB-Pokal,
2002-11-05,1860 München,VfL Wolfsburg,2-2,2,2,2002-03,DFB-Pokal,1860 München
2002-11-05,1899 Hoffenheim,1. FC Köln,1-5,1,5,2002-03,DFB-Pokal,
2002-11-05,Hamburger SV,MSV Duisburg,2-0,2,0,2002-03,DFB-Pokal,
2002-11-05,Hansa Rostock,Eintracht Frankfurt,1-0,1,0,2002-03,DFB-Pokal,
2002-11-05,Rot-Weiss Oberhausen,Arminia Bielefeld,1-0,1,0,2002-03,DFB-Pokal,
2002-11-05,SC Freiburg,Borussia Dortmund,3-0,3,0,2002-03,DFB-Pokal,
2002-11-05,SpVgg Unterhaching,1. FC Union Berlin,1-0,1,0,2002-03,DFB-Pokal,
2002-11-06,Bahlinger SC,SV Waldhof Mannheim,1-2,1,2,2002-03,DFB-Pokal,
2002-11-06,Bayer Leverkusen,VfB Stuttgart,3-0,3,0,2002-03,DFB-Pokal,
2002-11-06,Bayern Munich,Hannover 96,2-1,2,1,2002-03,DFB-Pokal,
2002-11-06,Energie Cottbus,1. FC Kaiserslautern,0-1,0,1,2002-03,DFB-Pokal,
2002-11-06,FC St. Pauli,Werder Bremen,0-3,0,3,2002-03,DFB-Pokal,
2002-11-06,Holstein Kiel,VfL Bochum,1-2,1,2,2002-03,DFB-Pokal,
2002-11-06,Kickers Offenbach,1. FC Nürnberg,2-3,2,3,2002-03,DFB-Pokal,
2002-11-06,LR Ahlen,SSV Reutlingen,3-1,3,1,2002-03,DFB-Pokal,
2002-11-06,Schalke 04,Borussia Mönchengladbach,5-0,5,0,2002-03,DFB-Pokal,
2002-12-03,1860 München,Rot-Weiss Oberhausen,2-1,2,1,2002-03,DFB-Pokal,
2002-12-03,Bayer Leverkusen,SV Waldhof Mannheim,2-1,2,1,2002-03,DFB-Pokal,
2002-12-03,Hamburger SV,VfL Bochum,0-1,0,1,2002-03,DFB-Pokal,
2002-12-03,SpVgg Unterhaching,Hansa Rostock,3-2,3,2,2002-03,DFB-Pokal,
2002-12-04,1. FC Kaiserslautern,SC Freiburg,2-0,2,0,2002-03,DFB-Pokal,
2002-12-04,1. FC Nürnberg,1. FC Köln,0-2,0,2,2002-03,DFB-Pokal,
2002-12-04,Bayern Munich,Schalke 04,0-0,0,0,2002-03,DFB-Pokal,Bayern Munich
2002-12-04,LR Ahlen,Werder Bremen,1-2,1,2,2002-03,DFB-Pokal,
2003-02-04,Bayern Munich,1. FC Köln,8-0,8,0,2002-03,DFB-Pokal,
2003-02-05,1860 München,Werder Bremen,1-4,1,4,2002-03,DFB-Pokal,
2003-02-05,SpVgg Unterhaching,Bayer Leverkusen,2-2,2,2,2002-03,DFB-Pokal,Bayer Leverkusen
2003-02-05,VfL Bochum,1. FC Kaiserslautern,3-3,3,3,2002-03,DFB-Pokal,1. FC Kaiserslautern
2003-03-04,1. FC Kaiserslautern,Werder Bremen,3-0,3,0,2002-03,DFB-Pokal,
2003-03-05,Bayern Munich,Bayer Leverkusen,3-1,3,1,2002-03,DFB-Pokal,
2003-05-31,Bayern Munich,1. FC Kaiserslautern,3-1,3,1,2002-03,DFB-Pokal,
2003-08-29,1899 Hoffenheim,Eintracht Trier,4-3,4,3,2003-04,DFB-Pokal,
2003-08-29,FC Rot-Weiß Erfurt,Alemannia Aachen,1-1,1,1,2003-04,DFB-Pokal,Alemannia Aachen
2003-08-29,SV Waldhof Mannheim,1. FC Union Berlin,0-4,0,4,2003-04,DFB-Pokal,
2003-08-29,VfL Wolfsburg (A),Energie Cottbus,2-0,2,0,2003-04,DFB-Pokal,
2003-08-30,ASV Bergedorf 85,VfL Wolfsburg,1-6,1,6,2003-04,DFB-Pokal,
2003-08-30,Bayer Leverkusen (A),VfB Stuttgart,0-4,0,4,2003-04,DFB-Pokal,
2003-08-30,Borussia Neunkirchen,Bayern Munich,0-5,0,5,2003-04,DFB-Pokal,
2003-08-30,Eintracht Braunschweig,1. FC Kaiserslautern,4-1,4,1,2003-04,DFB-Pokal,
2003-08-30,Erzgebirge Aue,SpVgg Greuther Fürth,0-3,0,3,2003-04,DFB-Pokal,
2003-08-30,FC Emmendingen,SC Freiburg,1-4,1,4,2003-04,DFB-Pokal,
2003-08-30,FC Oberneuland,1. FC Köln,2-5,2,5,2003-04,DFB-Pokal,
2003-08-30,Holstein Kiel,Bayer Leverkusen,1-3,1,3,2003-04,DFB-Pokal,
2003-08-30,Jahn Regensburg,VfL Bochum,2-1,2,1,2003-04,DFB-Pokal,
2003-08-30,Ludwigsfelder FC,Werder Bremen,1-9,1,9,2003-04,DFB-Pokal,
2003-08-30,Mainz 05 (A),Karlsruher SC,1-1,1,1,2003-04,DFB-Pokal,Karlsruher SC
2003-08-30,SSV Reutlingen,Hertha BSC,1-6,1,6,2003-04,DFB-Pokal,
2003-08-30,SpVgg Unterhaching,Rot-Weiß Oberhausen,6-2,6,2,2003-04,DFB-Pokal,
2003-08-30,TSV Aindling,Schalke 04,0-3,0,3,2003-04,DFB-Pokal,
2003-08-30,TSV Gerbrunn,Wacker Burghausen,0-14,0,14,2003-04,DFB-Pokal,
2003-08-31,1. FC Magdeburg,MSV Duisburg,0-0,0,0,2003-04,DFB-Pokal,MSV Duisburg
2003-08-31,BSV Schwarz-Weiß Rehden,1860 München,1-5,1,5,2003-04,DFB-Pokal,
2003-08-31,Eintracht Rheine,VfB Lübeck,0-2,0,2,2003-04,DFB-Pokal,
2003-08-31,Reinickendorfer Füchse,1. FC Nürnberg,0-2,0,2,2003-04,DFB-Pokal,
2003-08-31,SSVg Velbert,Mainz 05,0-0,0,0,2003-04,DFB-Pokal,SSVg Velbert
2003-08-31,Schönberg 95,Borussia Mönchengladbach,0-3,0,3,2003-04,DFB-Pokal,
2003-08-31,SpVgg EGC Wirges,Borussia Dortmund,0-3,0,3,2003-04,DFB-Pokal,
2003-08-31,Sportfreunde Siegen,LR Ahlen,2-0,2,0,2003-04,DFB-Pokal,
2003-08-31,VfL Kirchheim/Teck,Hannover 96,0-3,0,3,2003-04,DFB-Pokal,
2003-08-31,VfL Osnabrück,Hansa Rostock,0-0,0,0,2003-04,DFB-Pokal,Hansa Rostock
2003-09-01,Dynamo Dresden,Hamburger SV,0-1,0,1,2003-04,DFB-Pokal,
2003-09-01,FC St. Pauli,Arminia Bielefeld,0-0,0,0,2003-04,DFB-Pokal,FC St. Pauli
2003-09-01,Kickers Offenbach,Eintracht Frankfurt,1-1,1,1,2003-04,DFB-Pokal,Eintracht Frankfurt
2003-10-28,Bayern Munich,1. FC Nürnberg,1-1,1,1,2003-04,DFB-Pokal,Bayern Munich
2003-10-28,FC St. Pauli,VfB Lübeck,2-3,2,3,2003-04,DFB-Pokal,
2003-10-28,Hansa Rostock,Hertha BSC,2-2,2,2,2003-04,DFB-Pokal,Hertha BSC
2003-10-28,VfL Wolfsburg (A),1. FC Köln,2-3,2,3,2003-04,DFB-Pokal,
2003-10-28,Wacker Burghausen,VfB Stuttgart,0-1,0,1,2003-04,DFB-Pokal,
2003-10-28,Werder Bremen,VfL Wolfsburg,3-1,3,1,2003-04,DFB-Pokal,
2003-10-29,1. FC Union Berlin,Bayer Leverkusen,0-5,0,5,2003-04,DFB-Pokal,
2003-10-29,1899 Hoffenheim,Karlsruher SC,4-0,4,0,2003-04,DFB-Pokal,
2003-10-29,Alemannia Aachen,1860 München,1-1,1,1,2003-04,DFB-Pokal,Alemannia Aachen
2003-10-29,Borussia Mönchengladbach,Borussia Dortmund,2-1,2,1,2003-04,DFB-Pokal,
2003-10-29,Eintracht Braunschweig,Hannover 96,2-0,2,0,2003-04,DFB-Pokal,
2003-10-29,Eintracht Frankfurt,MSV Duisburg,1-2,1,2,2003-04,DFB-Pokal,
2003-10-29,SC Freiburg,Schalke 04,7-3,7,3,2003-04,DFB-Pokal,
2003-10-29,SSVg Velbert,Jahn Regensburg,1-2,1,2,2003-04,DFB-Pokal,
2003-10-29,SpVgg Unterhaching,Hamburger SV,2-4,2,4,2003-04,DFB-Pokal,
2003-10-29,Sportfreunde Siegen,SpVgg Greuther Fürth,1-2,1,2,2003-04,DFB-Pokal,
2003-12-02,1899 Hoffenheim,Bayer Leverkusen,3-2,3,2,2003-04,DFB-Pokal,
2003-12-02,Borussia Mönchengladbach,VfB Stuttgart,4-2,4,2,2003-04,DFB-Pokal,
2003-12-02,Eintracht Braunschweig,Alemannia Aachen,0-5,0,5,2003-04,DFB-Pokal,
2003-12-02,Jahn Regensburg,MSV Duisburg,3-3,3,3,2003-04,DFB-Pokal,MSV Duisburg
2003-12-03,1. FC Köln,SpVgg Greuther Fürth,1-1,1,1,2003-04,DFB-Pokal,SpVgg Greuther Fürth
2003-12-03,Bayern Munich,Hamburger SV,3-0,3,0,2003-04,DFB-Pokal,
2003-12-03,VfB Lübeck,SC Freiburg,1-0,1,0,2003-04,DFB-Pokal,
2003-12-03,Werder Bremen,Hertha BSC,6-1,6,1,2003-04,DFB-Pokal,
2004-02-03,1899 Hoffenheim,VfB Lübeck,0-1,0,1,2003-04,DFB-Pokal,
2004-02-03,Borussia Mönchengladbach,MSV Duisburg,2-2,2,2,2003-04,DFB-Pokal,Borussia Mönchengladbach
2004-02-03,SpVgg Greuther Fürth,Werder Bremen,2-3,2,3,2003-04,DFB-Pokal,
2004-02-04,Alemannia Aachen,Bayern Munich,2-1,2,1,2003-04,DFB-Pokal,
2004-03-16,Werder Bremen,VfB Lübeck,3-2,3,2,2003-04,DFB-Pokal,
2004-03-17,Alemannia Aachen,Borussia Mönchengladbach,1-0,1,0,2003-04,DFB-Pokal,
2004-05-29,Werder Bremen,Alemannia Aachen,3-2,3,2,2003-04,DFB-Pokal,
2005-05-28,Schalke 04,Bayern Munich,1-2,1,2,2004-05,DFB-Pokal,
2005-08-19,1. FC Köln II,Hannover 96,0-4,0,4,2005-06,DFB-Pokal,
2005-08-19,Holstein Kiel,SpVgg Unterhaching,0-2,0,2,2005-06,DFB-Pokal,
2005-08-19,Mainz 05 II,Karlsruher SC,0-3,0,3,2005-06,DFB-Pokal,
2005-08-19,Rot-Weiss Essen,Energie Cottbus,2-2,2,2,2005-06,DFB-Pokal,Energie Cottbus
2005-08-19,Rot-Weiß Erfurt,LR Ahlen,2-1,2,1,2005-06,DFB-Pokal,
2005-08-19,Rot-Weiß Oberhausen,Eintracht Frankfurt,1-2,1,2,2005-06,DFB-Pokal,
2005-08-19,VfL Bochum II,Erzgebirge Aue,2-3,2,3,2005-06,DFB-Pokal,
2005-08-19,Wuppertaler SV Borussia,1860 Munich,1-2,1,2,2005-06,DFB-Pokal,
2005-08-20,Eintracht Trier,1. FC Kaiserslautern,0-3,0,3,2005-06,DFB-Pokal,
2005-08-20,FC 08 Villingen,Hansa Rostock,2-5,2,5,2005-06,DFB-Pokal,
2005-08-20,FC Bremerhaven,Schalke 04,0-3,0,3,2005-06,DFB-Pokal,
2005-08-20,FC Ingolstadt,1. FC Saarbrücken,1-1,1,1,2005-06,DFB-Pokal,1. FC Saarbrücken
2005-08-20,FC St. Pauli,Wacker Burghausen,3-2,3,2,2005-06,DFB-Pokal,
2005-08-20,Jahn Regensburg,Alemannia Aachen,1-3,1,3,2005-06,DFB-Pokal,
2005-08-20,Kickers Offenbach,1. FC Köln,3-1,3,1,2005-06,DFB-Pokal,
2005-08-20,Rot-Weiß Erfurt II,Bayer Leverkusen,0-8,0,8,2005-06,DFB-Pokal,
2005-08-20,SC Paderborn,VfL Wolfsburg,0-2,0,2,2005-06,DFB-Pokal,
2005-08-20,Stuttgarter Kickers,Hamburger SV,1-5,1,5,2005-06,DFB-Pokal,
2005-08-20,Tennis Borussia Berlin,VfL Bochum,0-6,0,6,2005-06,DFB-Pokal,
2005-08-20,TuS Koblenz,Hertha BSC,2-3,2,3,2005-06,DFB-Pokal,
2005-08-20,Wattenscheid 09,Werder Bremen,1-3,1,3,2005-06,DFB-Pokal,
2005-08-21,1. FC Eschborn,1. FC Nürnberg,0-4,0,4,2005-06,DFB-Pokal,
2005-08-21,1899 Hoffenheim,VfB Stuttgart,3-4,3,4,2005-06,DFB-Pokal,
2005-08-21,FC Kutzhof,Borussia Mönchengladbach,0-3,0,3,2005-06,DFB-Pokal,
2005-08-21,Hansa Rostock II,Mainz 05,0-3,0,3,2005-06,DFB-Pokal,
2005-08-21,MSV 1919 Neuruppin,Bayern Munich,0-4,0,4,2005-06,DFB-Pokal,
2005-08-21,Preußen Magdeburg,Arminia Bielefeld,0-3,0,3,2005-06,DFB-Pokal,
2005-08-21,Sachsen Leipzig,Dynamo Dresden,1-1,1,1,2005-06,DFB-Pokal,Dynamo Dresden
2005-08-21,Sportfreunde Siegen,SC Freiburg,0-1,0,1,2005-06,DFB-Pokal,
2005-08-21,VfL Osnabrück,Greuther Fürth,2-2,2,2,2005-06,DFB-Pokal,VfL Osnabrück
2005-08-21,VfL Wolfsburg II,MSV Duisburg,0-1,0,1,2005-06,DFB-Pokal,
2005-08-22,Eintracht Braunschweig,Borussia Dortmund,2-1,2,1,2005-06,DFB-Pokal,
2005-10-25,1. FC Nürnberg,Dynamo Dresden,3-0,3,0,2005-06,DFB-Pokal,
2005-10-25,Alemannia Aachen,Hannover 96,1-2,1,2,2005-06,DFB-Pokal,
2005-10-25,Eintracht Frankfurt,Schalke 04,6-0,6,0,2005-06,DFB-Pokal,
2005-10-25,FC St. Pauli,VfL Bochum,4-0,4,0,2005-06,DFB-Pokal,
2005-10-25,Rot-Weiß Erfurt,1. FC Kaiserslautern,2-4,2,4,2005-06,DFB-Pokal,
2005-10-25,SC Freiburg,Eintracht Braunschweig,4-1,4,1,2005-06,DFB-Pokal,
2005-10-25,SpVgg Unterhaching,1. FC Saarbrücken,2-1,2,1,2005-06,DFB-Pokal,
2005-10-25,Werder Bremen,VfL Wolfsburg,2-2,2,2,2005-06,DFB-Pokal,Werder Bremen
2005-10-26,1860 Munich,MSV Duisburg,3-2,3,2,2005-06,DFB-Pokal,
2005-10-26,Arminia Bielefeld,Energie Cottbus,2-1,2,1,2005-06,DFB-Pokal,
2005-10-26,Erzgebirge Aue,Bayern Munich,0-1,0,1,2005-06,DFB-Pokal,
2005-10-26,Hamburger SV,Bayer Leverkusen,3-2,3,2,2005-06,DFB-Pokal,
2005-10-26,Hansa Rostock,VfB Stuttgart,3-2,3,2,2005-06,DFB-Pokal,
2005-10-26,Hertha BSC,Borussia Mönchengladbach,3-0,3,0,2005-06,DFB-Pokal,
2005-10-26,Kickers Offenbach,Karlsruher SC,2-1,2,1,2005-06,DFB-Pokal,
2005-10-26,VfL Osnabrück,Mainz 05,2-2,2,2,2005-06,DFB-Pokal,Mainz 05
2005-12-20,1. FC Kaiserslautern,Mainz 05,1-1,1,1,2005-06,DFB-Pokal,Mainz 05
2005-12-20,Arminia Bielefeld,SpVgg Unterhaching,2-0,2,0,2005-06,DFB-Pokal,
2005-12-20,SC Freiburg,1860 Munich,1-3,1,3,2005-06,DFB-Pokal,
2005-12-21,Bayern Munich,Hamburger SV,1-0,1,0,2005-06,DFB-Pokal,
2005-12-21,Eintracht Frankfurt,1. FC Nürnberg,1-1,1,1,2005-06,DFB-Pokal,Eintracht Frankfurt
2005-12-21,FC St. Pauli,Hertha BSC,4-3,4,3,2005-06,DFB-Pokal,
